,dataset,model_idx,metric,Standard,random,W10,w10kl,sac
0,svhn,1,std_acc,90.76,94.25,92.89,94.77,95.12
1,svhn,1,rob_acc,13.42,69.4,76.11,80.76,88.46
2,svhn,1,mts_acc,13.58,69.68,76.14,81.61,88.81
3,svhn,1,mean,39.26,77.78,81.71,85.71,90.8
4,svhn,1,duration,6.14,12.18,65.03,69.59,34.49
5,svhn,2,std_acc,94.18,89.89,90.16,94.39,92.65
6,svhn,2,rob_acc,21.17,57.9,66.83,61.74,78.0
7,svhn,2,mts_acc,21.41,60.79,66.98,62.46,79.25
8,svhn,2,mean,45.58,69.53,74.65,72.86,83.3
9,svhn,2,duration,7.84,14.83,77.05,80.03,39.89
10,cifar10,1,std_acc,87.28,85.36,81.77,86.77,84.08
11,cifar10,1,rob_acc,37.22,61.88,67.6,67.71,72.83
12,cifar10,1,mts_acc,37.79,63.73,69.15,70.65,75.51
13,cifar10,1,mean,54.1,70.32,72.84,75.05,77.47
14,cifar10,1,duration,16.74,28.02,128.14,138.64,70.6
15,cifar10,2,std_acc,90.09,89.42,82.09,90.38,89.91
16,cifar10,2,rob_acc,23.64,62.31,64.84,54.06,68.94
17,cifar10,2,mts_acc,24.09,63.42,68.24,56.33,71.59
18,cifar10,2,mean,45.94,71.72,71.72,66.92,76.81
19,cifar10,2,duration,18.73,28.86,119.76,138.39,72.24
20,gtsrb,1,std_acc,97.39,97.37,97.09,97.84,97.9
21,gtsrb,1,rob_acc,17.49,58.18,87.83,87.94,93.85
22,gtsrb,1,mts_acc,17.68,58.67,88.2,88.53,94.6
23,gtsrb,1,mean,44.19,71.41,91.04,91.44,95.45
24,gtsrb,1,duration,10.08,19.56,105.22,114.78,57.21
25,gtsrb,2,std_acc,93.56,95.59,95.4,96.73,97.01
26,gtsrb,2,rob_acc,14.6,70.13,82.39,84.38,90.22
27,gtsrb,2,mts_acc,14.7,71.06,83.22,85.15,91.02
28,gtsrb,2,mean,40.95,78.93,87.0,88.75,92.75
29,gtsrb,2,duration,7.46,16.6,94.21,96.95,45.82
30,fashion_mnist,1,std_acc,92.47,89.55,89.02,93.23,93.39
31,fashion_mnist,1,rob_acc,12.14,60.08,79.33,81.13,85.27
32,fashion_mnist,1,mts_acc,12.07,59.98,80.51,83.0,87.33
33,fashion_mnist,1,mean,38.89,69.87,82.95,85.79,88.66
34,fashion_mnist,1,duration,8.62,16.59,86.93,88.21,43.09
35,fashion_mnist,2,std_acc,92.84,91.19,90.11,93.73,93.89
36,fashion_mnist,2,rob_acc,13.19,70.36,83.99,84.05,87.59
37,fashion_mnist,2,mts_acc,13.22,70.43,84.43,86.06,89.54
38,fashion_mnist,2,mean,39.75,77.33,86.18,87.95,90.34
39,fashion_mnist,2,duration,19.81,36.28,183.55,199.28,88.61
