,dataset,model_idx,metric,Standard,random,W10,w10kl,sac
0,svhn,1,std_acc,90.76,94.25,92.89,94.77,95.12
1,svhn,1,rob_acc,13.42,69.4,76.11,80.76,88.46
2,svhn,1,mts_acc,13.58,69.68,76.14,81.61,88.81
3,svhn,1,mean,39.26,77.78,81.71,85.71,90.8
4,svhn,2,std_acc,94.18,89.89,90.16,94.39,92.65
5,svhn,2,rob_acc,21.17,57.9,66.83,61.74,78.0
6,svhn,2,mts_acc,21.41,60.79,66.98,62.46,79.25
7,svhn,2,mean,45.58,69.53,74.65,72.86,83.3
8,cifar10,1,std_acc,87.28,85.36,81.77,86.77,84.08
9,cifar10,1,rob_acc,37.22,61.88,67.6,67.71,72.83
10,cifar10,1,mts_acc,37.79,63.73,69.15,70.65,75.51
11,cifar10,1,mean,54.1,70.32,72.84,75.05,77.47
12,cifar10,2,std_acc,90.09,89.42,82.09,90.38,89.91
13,cifar10,2,rob_acc,23.64,62.31,64.84,54.06,68.94
14,cifar10,2,mts_acc,24.09,63.42,68.24,56.33,71.59
15,cifar10,2,mean,45.94,71.72,71.72,66.92,76.81
16,gtsrb,1,std_acc,97.39,97.37,97.09,97.84,97.9
17,gtsrb,1,rob_acc,17.49,58.18,87.83,87.94,93.85
18,gtsrb,1,mts_acc,17.68,58.67,88.2,88.53,94.6
19,gtsrb,1,mean,44.19,71.41,91.04,91.44,95.45
20,gtsrb,2,std_acc,93.56,95.59,95.4,96.73,97.01
21,gtsrb,2,rob_acc,14.6,70.13,82.39,84.38,90.22
22,gtsrb,2,mts_acc,14.7,71.06,83.22,85.15,91.02
23,gtsrb,2,mean,40.95,78.93,87.0,88.75,92.75
24,fashion_mnist,1,std_acc,92.47,89.55,89.02,93.23,93.39
25,fashion_mnist,1,rob_acc,12.14,60.08,79.33,81.13,85.27
26,fashion_mnist,1,mts_acc,12.07,59.98,80.51,83.0,87.33
27,fashion_mnist,1,mean,38.89,69.87,82.95,85.79,88.66
28,fashion_mnist,2,std_acc,92.84,91.19,90.11,93.73,93.89
29,fashion_mnist,2,rob_acc,13.19,70.36,83.99,84.05,87.59
30,fashion_mnist,2,mts_acc,13.22,70.43,84.43,86.06,89.54
31,fashion_mnist,2,mean,39.75,77.33,86.18,87.95,90.34
