,dataset,model_idx,metric,Augmix,autoaugment,sac
0,svhn,1,std_acc,92.25,95.49,95.12
1,svhn,1,rob_acc,13.18,27.68,88.46
2,svhn,1,mts_acc,13.22,27.87,88.81
3,svhn,1,mean,39.55,50.35,90.8
4,svhn,1,duration,152.28,19.29,34.49
5,svhn,2,std_acc,95.05,96.45,92.65
6,svhn,2,rob_acc,20.79,43.24,78.0
7,svhn,2,mts_acc,20.92,43.41,79.25
8,svhn,2,mean,45.59,61.03,83.3
9,svhn,2,duration,178.85,20.7,39.89
10,cifar10,1,std_acc,87.34,87.44,84.08
11,cifar10,1,rob_acc,37.6,38.3,72.83
12,cifar10,1,mts_acc,38.26,39.14,75.51
13,cifar10,1,mean,54.4,54.96,77.47
14,cifar10,1,duration,16.68,16.65,70.6
15,cifar10,2,std_acc,90.1,91.76,89.91
16,cifar10,2,rob_acc,23.21,25.53,68.94
17,cifar10,2,mts_acc,23.65,25.75,71.59
18,cifar10,2,mean,45.65,47.68,76.81
19,cifar10,2,duration,18.67,18.72,72.24
