,dataset,metric,td3,ddpg,ppo,sac
0,svhn,std_acc,94.81,94.62,95.14,95.12
1,svhn,rob_acc,87.53,86.56,88.65,88.46
2,svhn,mts_acc,87.79,87.13,89.25,88.81
3,svhn,mean,90.04,89.44,91.01,90.8
4,svhn,duration,32.87,53.43,33.83,34.49
5,cifar10,std_acc,90.2,89.69,90.22,89.91
6,cifar10,rob_acc,68.85,73.5,61.87,68.94
7,cifar10,mts_acc,71.38,75.93,64.26,71.59
8,cifar10,mean,76.81,79.71,72.12,76.81
9,cifar10,duration,70.13,89.74,70.97,72.24
10,gtsrb,std_acc,96.76,96.52,96.69,97.01
11,gtsrb,rob_acc,90.28,88.27,89.93,90.22
12,gtsrb,mts_acc,91.07,89.25,90.85,91.02
13,gtsrb,mean,92.7,91.35,92.49,92.75
14,gtsrb,duration,44.75,63.77,46.5,45.82
15,fashion_mnist,std_acc,93.32,93.16,93.48,93.39
16,fashion_mnist,rob_acc,84.4,82.93,84.95,85.27
17,fashion_mnist,mts_acc,86.27,84.89,86.96,87.33
18,fashion_mnist,mean,88.0,86.99,88.46,88.66
19,fashion_mnist,duration,41.72,61.24,42.4,43.09
