,dataset,metric,td3,ddpg,ppo,sac,std.var,,
0,svhn,std_acc,94.81,94.62,95.14,95.12,0.25,0.25,0.25
1,svhn,rob_acc,87.53,86.56,88.65,88.46,0.96,0.96,0.96
2,svhn,mts_acc,87.79,87.13,89.25,88.81,0.96,0.96,0.96
3,svhn,mean,90.04,89.44,91.01,90.8,0.72,0.72,0.72
4,svhn,duration,32.87,53.43,33.83,34.49,9.87,9.87,9.87
5,cifar10,std_acc,90.2,89.69,90.22,89.91,0.25,0.25,0.25
6,cifar10,rob_acc,68.85,73.5,61.87,68.94,4.8,4.8,4.8
7,cifar10,mts_acc,71.38,75.93,64.26,71.59,4.83,4.83,4.83
8,cifar10,mean,76.81,79.71,72.12,76.81,3.14,3.14,3.14
9,cifar10,duration,70.13,89.74,70.97,72.24,9.35,9.35,9.35
10,gtsrb,std_acc,96.76,96.52,96.69,97.01,0.2,0.2,0.2
11,gtsrb,rob_acc,90.28,88.27,89.93,90.22,0.95,0.95,0.95
12,gtsrb,mts_acc,91.07,89.25,90.85,91.02,0.87,0.87,0.87
13,gtsrb,mean,92.7,91.35,92.49,92.75,0.66,0.66,0.66
14,gtsrb,duration,44.75,63.77,46.5,45.82,9.07,9.07,9.07
15,fashion_mnist,std_acc,93.32,93.16,93.48,93.39,0.14,0.14,0.14
16,fashion_mnist,rob_acc,84.4,82.93,84.95,85.27,1.04,1.04,1.04
17,fashion_mnist,mts_acc,86.27,84.89,86.96,87.33,1.08,1.08,1.08
18,fashion_mnist,mean,88,86.99,88.46,88.66,0.74,0.74,0.74
19,fashion_mnist,duration,41.72,61.24,42.4,43.09,9.43,9.43,9.43
