,dataset,metric,sac,sac_alpha_2.0_beta_1.0,sac_alpha_4.0_beta_1.0,sac_alpha_1.0_beta_2.0
0,svhn,std_acc,95.12,95.05,94.81,95.13
1,svhn,rob_acc,88.46,88.84,87.68,88.47
2,svhn,mts_acc,88.81,89.21,88.4,89.38
3,svhn,mean,90.8,91.03,90.3,90.99
4,svhn,duration,34.49,33.37,33.4,33.32
5,cifar10,std_acc,89.91,90.3,89.61,89.93
6,cifar10,rob_acc,68.94,74.31,76.81,71.54
7,cifar10,mts_acc,71.59,76.81,79.24,74.65
8,cifar10,mean,76.81,80.48,81.89,78.71
9,cifar10,duration,72.24,70.25,70.4,70.54
10,gtsrb,std_acc,97.9,97.93,98.06,98.05
11,gtsrb,rob_acc,93.85,94.43,94.64,94.64
12,gtsrb,mts_acc,94.6,95.04,95.29,95.13
13,gtsrb,mean,95.45,95.8,96.0,95.94
14,gtsrb,duration,57.21,57.13,57.05,57.22
15,fashion_mnist,std_acc,93.39,93.18,91.89,92.86
16,fashion_mnist,rob_acc,85.27,84.51,82.84,85.17
17,fashion_mnist,mts_acc,87.33,86.23,85.12,87.9
18,fashion_mnist,mean,88.66,87.97,86.62,88.65
19,fashion_mnist,duration,43.09,43.49,43.46,43.47
